#time june_total
1950 85.387
1951 125.38054
1952 55.443672
1953 32.971954
1954 73.39474
1955 41.932495
1956 34.859737
1957 52.265896
1958 23.192753
1959 64.84334
1960 61.358723
1961 117.48184
1962 18.881447
1963 10.887167
1964 50.688488
1965 113.40723
1966 103.15037
1967 30.51892
1968 44.610832
1969 52.635593
1970 176.14937
1971 89.81109
1972 58.95134
1973 27.862694
1974 106.42389
1975 26.982002
1976 161.55386
1977 70.50897
1978 15.338816
1979 89.9512
1980 8.462544
1981 25.307152
1982 27.323112
1983 34.33409
1984 17.558365
1985 74.983574
1986 142.36557
1987 74.621605
1988 139.32433
1989 99.48016
1990 53.066303
1991 19.703094
1992 176.01938
1993 89.509735
1994 41.029114
1995 57.010426
1996 93.57435
1997 61.288227
1998 17.990026
1999 65.95644
2000 17.253778
2001 46.54757
2002 122.56213
2003 19.437313
2004 39.12478
2005 47.8696
# variable [mm d-1]
# AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T
