#time rs_duration
1950 71
1951 89
1952 73
1953 79
1954 100
1955 120
1956 101
1957 113
1958 93
1959 114
1960 87
1961 89
1962 113
1963 78
1964 100
1965 120
1966 115
1967 118
1968 82
1969 133
1970 98
1971 98
1972 68
1973 66
1974 126
1975 137
1976 78
1977 74
1978 98
1979 112
1980 72
1981 126
1982 109
1983 88
1984 102
1985 80
1986 93
1987 87
1988 82
1989 82
1990 55
1991 57
1992 63
1993 141
1994 70
1995 94
1996 88
1997 87
1998 60
1999 105
2000 103
2001 94
2002 97
2003 92
2004 85
2005 115
2006 65
2007 35
2008 95
2009 74
2010 83
2011 95
2012 88
2013 105
2014 84
2015 55
2016 96
2017 125
2018 103
2019 109
2020 97
2021 70
2022 46
2023 74
2024 61
2025 60
2026 65
2027 83
2028 100
2029 118
2030 68
2031 102
2032 78
2033 91
2034 59
2035 96
2036 55
2037 49
2038 50
2039 86
2040 43
2041 94
2042 101
2043 108
2044 96
2045 91
2046 102
2047 63
2048 96
2049 62
2050 85
# AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17
