#time rs_duration
1950 113
1951 117
1952 104
1953 78
1954 143
1955 91
1956 99
1957 116
1958 126
1959 92
1960 134
1961 76
1962 125
1963 68
1964 103
1965 87
1966 66
1967 120
1968 106
1969 94
1970 111
1971 128
1972 100
1973 99
1974 100
1975 113
1976 120
1977 81
1978 93
1979 105
1980 106
1981 109
1982 97
1983 103
1984 120
1985 121
1986 96
1987 97
1988 102
1989 99
1990 132
1991 85
1992 149
1993 110
1994 69
1995 127
1996 111
1997 81
1998 89
1999 85
2000 111
2001 102
2002 130
2003 97
2004 161
2005 121
2006 93
2007 89
2008 85
2009 113
2010 98
2011 111
2012 86
2013 93
2014 104
2015 81
2016 86
2017 110
2018 98
2019 69
2020 109
2021 138
2022 105
2023 108
2024 128
2025 88
2026 110
2027 106
2028 85
2029 97
2030 91
2031 142
2032 90
2033 114
2034 111
2035 109
2036 102
2037 88
2038 99
2039 125
2040 87
2041 80
2042 81
2043 99
2044 109
2045 124
2046 101
2047 103
2048 107
2049 127
2050 99
# rs_duration_CMCC-CM2-HR4_r1i1p1f1
