#time rs_duration
1950 75
1951 70
1952 92
1953 94
1954 96
1955 97
1956 89
1957 83
1958 102
1959 121
1960 76
1961 105
1962 82
1963 61
1964 104
1965 112
1966 83
1967 83
1968 77
1969 103
1970 77
1971 90
1972 77
1973 95
1974 65
1975 63
1976 70
1977 86
1978 54
1979 126
1980 113
1981 57
1982 94
1983 102
1984 71
1985 114
1986 94
1987 114
1988 111
1989 82
1990 119
1991 130
1992 88
1993 121
1994 134
1995 107
1996 102
1997 130
1998 112
1999 122
2000 112
2001 62
2002 93
2003 109
2004 112
2005 118
2006 100
2007 114
2008 101
2009 95
2010 48
2011 81
2012 66
2013 50
2014 116
2015 118
2016 97
2017 114
2018 106
2019 74
2020 82
2021 103
2022 53
2023 85
2024 91
2025 89
2026 101
2027 101
2028 97
2029 102
2030 80
2031 100
2032 87
2033 78
2034 54
2035 140
2036 118
2037 118
2038 89
2039 108
2040 80
2041 103
2042 88
2043 118
2044 82
2045 103
2046 96
2047 64
2048 96
2049 68
2050 90
# AFR-44_rs_duration_MOHC-HadGEM2-ES_r1i1p1_CLMcom-CCLM4-8-17
