#time june_total
1950 31.240238
1951 17.700556
1952 6.0049896
1953 14.18389
1954 11.812993
1955 7.898566
1956 11.069033
1957 4.9582376
1958 7.0487647
1959 1.8743443
1960 30.548948
1961 18.887318
1962 27.523138
1963 9.814676
1964 1.6392281
1965 0.75100315
1966 8.874051
1967 4.5478635
1968 14.63875
1969 3.1291823
1970 11.660979
1971 9.946818
1972 24.07299
1973 25.685266
1974 11.416899
1975 5.213189
1976 15.114698
1977 2.2696314
1978 12.189047
1979 15.396708
1980 2.699203
1981 3.876559
1982 6.043555
1983 19.212112
1984 25.426144
1985 9.373861
1986 9.076244
1987 2.0346365
1988 1.8318692
1989 7.537449
1990 5.728542
1991 2.891789
1992 15.126979
1993 9.1622305
1994 5.6668615
1995 3.2945678
1996 22.324484
1997 26.688557
1998 5.1401367
1999 14.483325
2000 8.398647
2001 6.7893577
2002 12.08571
2003 10.539806
2004 13.012594
2005 2.0504005
2006 3.561299
2007 9.7021055
2008 13.599373
2009 17.576954
2010 15.896553
2011 3.879267
2012 4.7719946
2013 8.291511
2014 0.7000279
2015 20.575056
2016 15.343531
2017 6.259548
2018 24.857155
2019 14.5079365
2020 10.669528
2021 2.7471766
2022 8.548975
2023 26.586357
2024 7.3990726
2025 4.401101
2026 17.602531
2027 18.002039
2028 15.696815
2029 35.803375
2030 18.896046
2031 8.410944
2032 17.879244
2033 8.249562
2034 4.2961316
2035 12.793205
2036 6.63864
2037 5.230802
2038 13.050608
2039 17.241837
2040 13.412015
2041 4.7218385
2042 3.1206505
2043 21.005878
2044 29.289745
2045 13.567587
2046 9.182723
2047 43.072556
2048 8.03106
2049 10.445343
2050 13.148083
# variable [mm d-1]
# AFR-44_june_total_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009
