#time rs_onset
1970 137
1971 210
1972 222
1973 217
1974 214
1975 116
1976 206
1977 122
1978 195
1979 209
1980 199
1981 125
1982 189
1983 217
1984 212
1985 214
1986 185
1987 209
1988 132
1989 208
1990 105
1991 198
1992 219
1993 207
1994 216
1995 132
1996 227
1997 207
1998 198
1999 129
2000 215
2001 123
2002 190
2003 215
2004 193
2005 211
2006 200
2007 131
2008 198
2009 104
2010 227
2011 192
2012 195
2013 124
2014 213
2015 209
2016 193
2017 194
2018 143
2019 194
2020 197
2021 207
2022 217
2023 197
2024 187
2025 121
2026 197
2027 136
2028 208
2029 202
2030 189
2031 193
2032 206
2033 198
2034 122
2035 207
2036 212
2037 209
2038 219
2039 195
2040 209
2041 197
2042 210
2043 209
2044 194
2045 195
2046 204
2047 204
2048 206
2049 209
2050 213
# AFR-22_rs_onset_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7
