#time june_total
1950 29.178225
1951 36.84254
1952 16.295284
1953 38.559036
1954 41.70869
1955 16.708225
1956 10.860994
1957 9.249727
1958 22.149994
1959 31.739697
1960 25.890383
1961 37.877953
1962 21.180277
1963 3.2697556
1964 18.338318
1965 17.753191
1966 24.700636
1967 4.32443
1968 45.774773
1969 53.666874
1970 28.963821
1971 40.90642
1972 15.061023
1973 16.235144
1974 29.73446
1975 9.794054
1976 31.976059
1977 12.701918
1978 9.137409
1979 21.399008
1980 17.833097
1981 41.74183
1982 20.481081
1983 28.497662
1984 12.251406
1985 25.188473
1986 46.18855
1987 18.182343
1988 31.569946
1989 33.994442
1990 15.225579
1991 14.775394
1992 43.30933
1993 49.685474
1994 13.626686
1995 16.664242
1996 13.294805
1997 19.531614
1998 10.641788
1999 11.412057
2000 7.8656297
2001 12.375684
2002 28.099894
2003 23.10265
2004 32.762768
2005 21.829792
2006 12.112068
2007 26.76381
2008 28.191725
2009 13.734471
2010 22.572113
2011 15.046033
2012 17.279919
2013 36.825134
2014 7.5722513
2015 36.24813
2016 28.845316
2017 11.774745
2018 33.709404
2019 16.365145
2020 16.885155
2021 14.8155155
2022 15.575286
2023 15.365491
2024 23.053156
2025 10.357224
2026 8.434624
2027 10.877943
2028 17.885567
2029 12.041633
2030 15.136301
2031 22.911478
2032 22.424244
2033 13.772156
2034 38.171
2035 23.242125
2036 19.179031
2037 25.577003
2038 8.835075
2039 33.713055
2040 18.199875
2041 30.111197
2042 20.542675
2043 17.370653
2044 17.510157
2045 12.640313
2046 8.132771
2047 16.164566
2048 56.61832
2049 32.20201
2050 14.785962
# variable [mm d-1]
# AFR-44_june_total_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009
