#time rs_onset
1950 124
1951 222
1952 203
1953 206
1954 200
1955 187
1956 191
1957 186
1958 186
1959 175
1960 122
1961 113
1962 193
1963 192
1964 178
1965 196
1966 117
1967 197
1968 180
1969 196
1970 213
1971 191
1972 178
1973 101
1974 196
1975 175
1976 172
1977 190
1978 184
1979 204
1980 209
1981 197
1982 191
1983 198
1984 214
1985 192
1986 186
1987 203
1988 206
1989 207
1990 118
1991 200
1992 193
1993 195
1994 191
1995 100
1996 195
1997 197
1998 177
1999 191
2000 183
2001 248
2002 188
2003 188
2004 189
2005 194
# AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_KNMI-RACMO22T
