#time rs_onset
1950 149
1951 128
1952 184
1953 135
1954 128
1955 186
1956 186
1957 172
1958 186
1959 143
1960 131
1961 204
1962 153
1963 191
1964 174
1965 179
1966 145
1967 150
1968 140
1969 165
1970 147
1971 181
1972 167
1973 187
1974 117
1975 176
1976 138
1977 191
1978 183
1979 191
1980 181
1981 201
1982 174
1983 190
1984 169
1985 138
1986 138
1987 204
1988 121
1989 182
1990 162
1991 194
1992 149
1993 167
1994 173
1995 159
1996 171
1997 152
1998 174
1999 186
2000 170
2001 165
2002 147
2003 185
2004 195
2005 157
2006 122
2007 162
2008 180
2009 188
2010 183
2011 178
2012 187
2013 119
2014 194
2015 204
2016 145
2017 179
2018 144
2019 164
2020 132
2021 152
2022 152
2023 193
2024 146
2025 187
2026 206
2027 185
2028 200
2029 123
2030 202
2031 166
2032 177
2033 173
2034 197
2035 157
2036 167
2037 181
2038 179
2039 211
2040 191
2041 176
2042 199
2043 173
2044 162
2045 204
2046 157
2047 220
2048 185
2049 166
2050 195
# AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17
