#time rs_duration
1950 71
1951 77
1952 66
1953 109
1954 84
1955 112
1956 87
1957 86
1958 98
1959 95
1960 87
1961 82
1962 106
1963 85
1964 97
1965 104
1966 107
1967 64
1968 74
1969 118
1970 98
1971 82
1972 70
1973 49
1974 63
1975 92
1976 91
1977 75
1978 97
1979 121
1980 104
1981 82
1982 106
1983 61
1984 59
1985 68
1986 113
1987 52
1988 65
1989 96
1990 66
1991 114
1992 112
1993 60
1994 66
1995 95
1996 99
1997 93
1998 97
1999 100
2000 100
2001 68
2002 88
2003 97
2004 86
2005 102
2006 108
2007 81
2008 73
2009 57
2010 114
2011 71
2012 83
2013 111
2014 74
2015 53
2016 133
2017 33
2018 67
2019 100
2020 98
2021 70
2022 77
2023 76
2024 115
2025 125
2026 103
2027 83
2028 104
2029 81
2030 82
2031 85
2032 85
2033 68
2034 52
2035 79
2036 135
2037 111
2038 73
2039 102
2040 105
2041 78
2042 82
2043 72
2044 96
2045 102
2046 110
2047 64
2048 69
2049 95
2050 100
# AFR-22_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15
