#time rs_duration
1950 73
1951 98
1952 65
1953 93
1954 64
1955 128
1956 110
1957 90
1958 117
1959 86
1960 86
1961 115
1962 80
1963 88
1964 73
1965 99
1966 103
1967 88
1968 115
1969 141
1970 89
1971 95
1972 118
1973 105
1974 86
1975 95
1976 86
1977 102
1978 105
1979 94
1980 94
1981 85
1982 70
1983 122
1984 90
1985 77
1986 78
1987 70
1988 89
1989 98
1990 123
1991 87
1992 120
1993 119
1994 115
1995 148
1996 66
1997 120
1998 94
1999 96
2000 108
2001 116
2002 73
2003 111
2004 75
2005 97
2006 111
2007 120
2008 73
2009 118
2010 82
2011 100
2012 87
2013 86
2014 80
2015 134
2016 116
2017 90
2018 98
2019 98
2020 119
2021 103
2022 107
2023 85
2024 88
2025 85
2026 108
2027 112
2028 93
2029 127
2030 112
2031 98
2032 112
2033 85
2034 123
2035 106
2036 110
2037 98
2038 118
2039 104
2040 105
2041 97
2042 95
2043 128
2044 97
2045 87
2046 79
2047 90
2048 104
2049 122
2050 96
# rs_duration_HadGEM3-GC31-HM_r1i1p1f1
