#time june_total
1950 65.21287
1951 45.03714
1952 34.683468
1953 134.65913
1954 34.968605
1955 72.42434
1956 13.970655
1957 22.42043
1958 96.89856
1959 76.982834
1960 12.418827
1961 4.9249644
1962 56.995968
1963 95.23226
1964 14.962624
1965 153.14398
1966 79.28968
1967 124.09464
1968 54.659668
1969 66.99678
1970 5.7787676
1971 61.633457
1972 132.5828
1973 22.690903
1974 74.9525
1975 84.07567
1976 76.43094
1977 76.717384
1978 12.040168
1979 53.092224
1980 67.76381
1981 91.041275
1982 93.54927
1983 39.409237
1984 19.566042
1985 47.787205
1986 115.4535
1987 9.031508
1988 100.35131
1989 125.05937
1990 122.0214
1991 52.837547
1992 51.372345
1993 26.986403
1994 22.242508
1995 44.224876
1996 32.88178
1997 45.078156
1998 56.976864
1999 51.193512
2000 117.92054
2001 13.723397
2002 8.709778
2003 120.23251
2004 58.182766
2005 133.89334
2006 51.364212
2007 141.32863
2008 64.499504
2009 11.67002
2010 44.753094
2011 134.21025
2012 28.734257
2013 55.784794
2014 81.88641
2015 47.32226
2016 87.58157
2017 20.931929
2018 22.615067
2019 51.35075
2020 23.691525
2021 56.0669
2022 24.248701
2023 123.539246
2024 108.83118
2025 99.019554
2026 116.772545
2027 75.04728
2028 62.16451
2029 128.00485
2030 55.72577
2031 53.33654
2032 89.26482
2033 79.07951
2034 32.114304
2035 80.86787
2036 154.68785
2037 130.7008
2038 114.68255
2039 19.875635
2040 65.74407
2041 77.37632
2042 42.151527
2043 7.707774
2044 63.25533
2045 9.111693
2046 24.42585
2047 15.175349
2048 33.48154
2049 28.470434
2050 40.902462
# variable [mm d-1]
# AFR-22_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-KIT-CCLM5-0-15
