#time rs_duration
1950 95
1951 105
1952 90
1953 74
1954 84
1955 60
1956 96
1957 85
1958 104
1959 86
1960 100
1961 136
1962 76
1963 84
1964 147
1965 56
1966 50
1967 89
1968 64
1969 94
1970 115
1971 101
1972 99
1973 85
1974 89
1975 67
1976 73
1977 105
1978 108
1979 60
1980 90
1981 103
1982 97
1983 103
1984 67
1985 115
1986 78
1987 62
1988 84
1989 88
1990 103
1991 60
1992 100
1993 103
1994 102
1995 79
1996 81
1997 108
1998 131
1999 109
2000 145
2001 98
2002 92
2003 95
2004 105
2005 99
2006 92
2007 80
2008 108
2009 106
2010 91
2011 91
2012 59
2013 75
2014 93
2015 61
2016 108
2017 65
2018 70
2019 150
2020 105
2021 88
2022 84
2023 69
2024 60
2025 85
2026 76
2027 71
2028 102
2029 103
2030 122
2031 106
2032 79
2033 125
2034 102
2035 102
2036 93
2037 97
2038 66
2039 95
2040 120
2041 102
2042 91
2043 85
2044 78
2045 140
2046 99
2047 74
2048 94
2049 82
2050 65
# rs_duration_HadGEM3-GC31-LM_r1i14p1f1
