#time rs_duration
1950 83
1951 79
1952 85
1953 80
1954 74
1955 68
1956 81
1957 59
1958 68
1959 66
1960 81
1961 81
1962 76
1963 56
1964 73
1965 66
1966 65
1967 70
1968 69
1969 78
1970 71
1971 82
1972 66
1973 84
1974 85
1975 69
1976 68
1977 72
1978 60
1979 80
1980 75
1981 77
1982 68
1983 78
1984 84
1985 80
1986 70
1987 82
1988 63
1989 85
1990 67
1991 76
1992 68
1993 58
1994 76
1995 80
1996 66
1997 77
1998 84
1999 84
2000 78
2001 70
2002 78
2003 85
2004 69
2005 74
2006 72
2007 86
2008 71
2009 63
2010 96
2011 87
2012 75
2013 73
2014 63
2015 83
2016 77
2017 78
2018 90
2019 74
2020 81
2021 93
2022 78
2023 84
2024 65
2025 86
2026 86
2027 71
2028 72
2029 75
2030 80
2031 70
2032 71
2033 95
2034 89
2035 96
2036 90
2037 74
2038 76
2039 94
2040 70
2041 83
2042 72
2043 78
2044 91
2045 71
2046 87
2047 88
2048 80
2049 76
2050 73
# rs_duration_MPI-ESM1-2-XR_r1i1p1f1
