#time june_total
1950 35.0412
1951 10.404172
1952 27.287676
1953 23.085842
1954 6.36942
1955 14.040911
1956 10.629211
1957 3.1002142
1958 7.999998
1959 7.4340887
1960 33.79778
1961 25.563314
1962 9.10786
1963 5.018592
1964 6.864477
1965 24.11017
1966 31.43347
1967 7.7612376
1968 3.355148
1969 19.524654
1970 7.8600416
1971 7.2042937
1972 27.077028
1973 19.579006
1974 17.804564
1975 19.624273
1976 17.940653
1977 4.723869
1978 22.46429
1979 34.60386
1980 21.707739
1981 29.346773
1982 7.81077
1983 2.9292755
1984 17.252476
1985 15.482486
1986 12.048844
1987 19.052818
1988 7.8698773
1989 12.653523
1990 35.274902
1991 9.658728
1992 6.3175282
1993 25.369041
1994 1.9673778
1995 9.283445
1996 14.31677
1997 22.290964
1998 11.882118
1999 15.016393
2000 15.846829
2001 11.519149
2002 38.891838
2003 27.043568
2004 58.31947
2005 24.860914
2006 22.997995
2007 9.73559
2008 14.394356
2009 21.54422
2010 6.123072
2011 7.621823
2012 12.915664
2013 16.991917
2014 11.668901
2015 13.341457
2016 32.444515
2017 20.795559
2018 17.414242
2019 23.302633
2020 5.34927
2021 24.696175
2022 17.66418
2023 23.903873
2024 43.82395
2025 34.019424
2026 21.38191
2027 10.241397
2028 17.140062
2029 15.033546
2030 6.9557605
2031 9.552109
2032 8.287996
2033 38.760353
2034 25.398504
2035 24.323786
2036 23.78193
2037 6.5473113
2038 16.908148
2039 16.365017
2040 27.205767
2041 19.662739
2042 14.680366
2043 26.934896
2044 21.147833
2045 16.897987
2046 14.434637
2047 19.070019
2048 18.56732
2049 22.646765
2050 17.769005
# variable [mm d-1]
# AFR-44_june_total_MIROC-MIROC5_r1i1p1_GERICS-REMO2009
