#time rs_onset
1950 190
1951 163
1952 164
1953 154
1954 180
1955 161
1956 175
1957 173
1958 162
1959 171
1960 164
1961 196
1962 172
1963 155
1964 188
1965 166
1966 168
1967 185
1968 166
1969 177
1970 171
1971 188
1972 188
1973 198
1974 164
1975 169
1976 178
1977 157
1978 169
1979 145
1980 190
1981 158
1982 191
1983 174
1984 176
1985 189
1986 165
1987 176
1988 174
1989 160
1990 181
1991 168
1992 173
1993 185
1994 166
1995 152
1996 150
1997 141
1998 174
1999 169
2000 155
2001 179
2002 169
2003 195
2004 180
2005 161
2006 175
2007 167
2008 156
2009 165
2010 176
2011 174
2012 199
2013 172
2014 160
2015 185
2016 174
2017 178
2018 185
2019 191
2020 171
2021 173
2022 168
2023 158
2024 147
2025 163
2026 175
2027 160
2028 184
2029 160
2030 161
2031 164
2032 159
2033 146
2034 168
2035 155
2036 157
2037 174
2038 175
2039 180
2040 174
2041 170
2042 173
2043 182
2044 184
2045 160
2046 172
2047 165
2048 163
2049 189
2050 174
# AFR-44_rs_onset_MOHC-HadGEM2-ES_r1i1p1_GERICS-REMO2009
