#time june_total
1950 106.99086
1951 54.09674
1952 89.05343
1953 88.47682
1954 80.79002
1955 123.267715
1956 88.58819
1957 91.50995
1958 109.20607
1959 95.60978
1960 102.66197
1961 120.36119
1962 99.19114
1963 121.61958
1964 91.24394
1965 68.055916
1966 107.41418
1967 98.12234
1968 103.415565
1969 129.83476
1970 129.18735
1971 87.815094
1972 73.16638
1973 122.91793
1974 88.28005
1975 80.973076
1976 96.164375
1977 55.34794
1978 80.66347
1979 104.96667
1980 77.44112
1981 98.991264
1982 109.99396
1983 85.144745
1984 121.320465
1985 109.34809
1986 77.96333
1987 105.37188
1988 85.60873
1989 113.73993
1990 113.6043
1991 73.77011
1992 100.65896
1993 101.747025
1994 88.08785
1995 106.96895
1996 113.502975
1997 84.34345
1998 99.39772
1999 106.00327
2000 116.72528
2001 73.218605
2002 102.50165
2003 76.36661
2004 82.49571
2005 104.121
2006 94.05723
2007 107.47141
2008 83.686584
2009 105.36862
2010 86.03264
2011 87.39699
2012 92.0999
2013 78.209694
2014 108.824615
2015 109.330864
2016 100.72562
2017 64.79438
2018 105.93573
2019 91.82743
2020 88.806656
2021 85.97533
2022 104.35505
2023 78.22655
2024 90.10234
2025 90.302055
2026 89.03447
2027 81.903366
2028 112.175644
2029 101.21891
2030 109.69873
2031 97.47831
2032 105.15058
2033 101.619995
2034 88.95756
2035 94.51458
2036 109.744316
2037 94.07756
2038 116.500496
2039 83.29262
2040 88.10564
2041 90.201485
2042 128.69516
2043 95.95482
2044 106.96292
2045 78.83232
2046 113.9701
2047 123.05637
2048 99.71094
2049 171.84555
2050 85.86268
# variable [mm d-1]
# AFR-44_june_total_CCCma-CanESM2_r1i1p1_CCCma-CanRCM4
