#time rs_duration
1950 92
1951 79
1952 87
1953 123
1954 118
1955 121
1956 110
1957 101
1958 142
1959 101
1960 86
1961 98
1962 69
1963 101
1964 90
1965 111
1966 79
1967 80
1968 50
1969 114
1970 124
1971 98
1972 94
1973 74
1974 85
1975 99
1976 93
1977 93
1978 128
1979 99
1980 90
1981 122
1982 73
1983 95
1984 71
1985 105
1986 81
1987 86
1988 117
1989 117
1990 67
1991 81
1992 126
1993 115
1994 110
1995 80
1996 125
1997 76
1998 110
1999 77
2000 117
2001 80
2002 105
2003 86
2004 82
2005 118
2006 115
2007 78
2008 89
2009 104
2010 89
2011 79
2012 112
2013 134
2014 92
2015 106
2016 119
2017 76
2018 123
2019 133
2020 107
2021 107
2022 78
2023 114
2024 93
2025 122
2026 123
2027 83
2028 107
2029 129
2030 115
2031 99
2032 98
2033 68
2034 117
2035 103
2036 124
2037 99
2038 84
2039 78
2040 91
2041 102
2042 97
2043 75
2044 121
2045 105
2046 108
2047 142
2048 88
2049 128
2050 63
# rs_duration_HadGEM3-GC31-MM_r1i1p1f1
