#time rs_onset
1950 176
1951 183
1952 183
1953 189
1954 128
1955 204
1956 186
1957 187
1958 170
1959 175
1960 130
1961 130
1962 191
1963 197
1964 176
1965 191
1966 173
1967 188
1968 141
1969 147
1970 162
1971 152
1972 178
1973 181
1974 162
1975 174
1976 169
1977 192
1978 193
1979 174
1980 170
1981 194
1982 182
1983 175
1984 201
1985 173
1986 145
1987 176
1988 169
1989 176
1990 171
1991 208
1992 144
1993 202
1994 187
1995 190
1996 178
1997 158
1998 178
1999 190
2000 183
2001 187
2002 157
2003 187
2004 141
2005 171
2006 176
2007 155
2008 132
2009 196
2010 125
2011 192
2012 165
2013 175
2014 194
2015 140
2016 179
2017 187
2018 190
2019 186
2020 173
2021 177
2022 176
2023 188
2024 192
2025 177
2026 207
2027 176
2028 180
2029 174
2030 184
2031 183
2032 205
2033 195
2034 130
2035 162
2036 172
2037 198
2038 190
2039 187
2040 175
2041 162
2042 180
2043 174
2044 172
2045 188
2046 188
2047 167
2048 182
2049 187
2050 172
# AFR-44_rs_onset_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009
