#time june_total
1950 1.5351766
1951 0.510377
1952 1.9293988
1953 2.6665623
1954 0.764899
1955 3.3600612
1956 2.665508
1957 0.6334756
1958 5.3483987
1959 10.007689
1960 2.4538174
1961 1.6656295
1962 0.23969863
1963 0.8726414
1964 0.039194617
1965 7.9473515
1966 6.8584948
1967 2.346404
1968 1.7666016
1969 3.103539
1970 15.255073
1971 5.0586367
1972 0.7900107
1973 2.038831
1974 5.7112494
1975 2.242375
1976 1.6402986
1977 5.9155383
1978 0.9309957
1979 1.3838545
1980 40.785717
1981 7.1657453
1982 6.4603777
1983 0.3006803
1984 0.84179103
1985 9.145057
1986 7.372244
1987 4.6346197
1988 1.1113228
1989 5.64008
1990 6.8099875
1991 2.5983002
1992 4.191263
1993 12.664679
1994 2.4624581
1995 27.865044
1996 1.5057113
1997 21.49482
1998 0.9643779
1999 0.7595137
2000 6.274061
2001 0.3335176
2002 6.265966
2003 4.0530167
2004 2.6359744
2005 6.0462265
2006 3.6459734
2007 7.7766657
2008 0.022885084
2009 16.755655
2010 7.3926497
2011 17.223253
2012 1.7749791
2013 9.903033
2014 7.3760653
2015 25.082924
2016 1.5885828
2017 2.4759579
2018 0.7788144
2019 4.8942347
2020 14.035521
2021 3.994784
2022 2.417138
2023 0.3114118
2024 4.035088
2025 5.754415
2026 20.896318
2027 1.9486775
2028 6.0153074
2029 7.5088825
2030 1.5184085
2031 6.4119244
2032 2.409938
2033 2.1087499
2034 1.4286128
2035 13.00998
2036 8.603992
2037 14.861601
2038 1.1318816
2039 75.2001
2040 18.650238
2041 3.7421288
2042 9.032514
2043 3.933635
2044 50.893517
2045 27.550198
2046 5.548286
2047 31.11838
2048 6.3370986
2049 7.713335
# variable [mm d-1]
# june_total_EC-Earth3P-HR_r1i1p1f1
