#time june_total
1950 101.3529
1951 48.806374
1952 81.12204
1953 113.473
1954 81.533005
1955 152.56656
1956 42.19917
1957 155.34352
1958 113.474205
1959 72.649536
1960 40.726536
1961 53.51926
1962 78.14693
1963 97.56729
1964 30.365198
1965 150.97955
1966 111.40663
1967 93.72627
1968 45.834396
1969 119.578
1970 37.73081
1971 54.471462
1972 74.14263
1973 95.539894
1974 100.45847
1975 78.487404
1976 52.61084
1977 76.47002
1978 38.175102
1979 104.82002
1980 79.049805
1981 90.92521
1982 79.168045
1983 85.07459
1984 28.103247
1985 74.97002
1986 57.253643
1987 36.00252
1988 92.10029
1989 197.27203
1990 125.6247
1991 40.870537
1992 105.51819
1993 141.79001
1994 67.40715
1995 133.7631
1996 38.466198
1997 193.5533
1998 167.22054
1999 49.901787
2000 56.58331
2001 30.277468
2002 21.656935
2003 110.83989
2004 64.72703
2005 75.4354
2006 133.85004
2007 67.323166
2008 120.82157
2009 40.974937
2010 102.47196
2011 85.50069
2012 43.47667
2013 87.72442
2014 81.24128
2015 46.021976
2016 51.03131
2017 81.24592
2018 27.042477
2019 149.28723
2020 26.536716
2021 61.613663
2022 39.149784
2023 124.34149
2024 121.117775
2025 79.165344
2026 142.818
2027 18.228754
2028 47.83139
2029 88.29902
2030 67.535774
2031 63.296623
2032 91.49701
2033 85.72115
2034 43.45529
2035 74.16838
2036 185.37831
2037 111.50426
2038 41.37938
2039 48.595524
2040 41.56514
2041 100.688446
2042 38.8566
2043 76.90203
2044 44.032013
2045 42.68435
2046 44.613125
2047 69.49267
2048 75.70759
2049 178.87923
2050 20.82533
# variable [mm d-1]
# AFR-44_june_total_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17
