#time rs_onset
1950 164
1951 183
1952 176
1953 117
1954 145
1955 138
1956 169
1957 143
1958 121
1959 169
1960 172
1961 166
1962 182
1963 159
1964 178
1965 138
1966 176
1967 177
1968 192
1969 132
1970 122
1971 152
1972 149
1973 183
1974 165
1975 167
1976 168
1977 164
1978 136
1979 159
1980 169
1981 136
1982 183
1983 143
1984 180
1985 156
1986 180
1987 174
1988 145
1989 129
1990 179
1991 177
1992 124
1993 132
1994 145
1995 172
1996 128
1997 176
1998 135
1999 182
2000 138
2001 186
2002 140
2003 169
2004 180
2005 144
2006 146
2007 176
2008 172
2009 155
2010 161
2011 170
2012 143
2013 136
2014 162
2015 140
2016 136
2017 174
2018 166
2019 109
2020 136
2021 154
2022 179
2023 175
2024 172
2025 133
2026 146
2027 173
2028 146
2029 129
2030 159
2031 156
2032 170
2033 172
2034 137
2035 162
2036 149
2037 170
2038 169
2039 178
2040 170
2041 159
2042 155
2043 179
2044 135
2045 153
2046 157
2047 138
2048 172
2049 133
2050 191
# rs_onset_HadGEM3-GC31-MM_r1i1p1f1
