#time rs_onset
1950 164
1951 192
1952 202
1953 195
1954 179
1955 151
1956 179
1957 160
1958 189
1959 156
1960 186
1961 174
1962 153
1963 208
1964 182
1965 154
1966 157
1967 165
1968 181
1969 139
1970 178
1971 173
1972 183
1973 183
1974 149
1975 158
1976 166
1977 197
1978 175
1979 163
1980 187
1981 165
1982 160
1983 187
1984 177
1985 189
1986 191
1987 195
1988 189
1989 207
1990 166
1991 174
1992 218
1993 146
1994 195
1995 192
1996 186
1997 195
1998 225
1999 149
2000 178
2001 172
2002 179
2003 157
2004 191
2005 161
2006 202
2007 192
2008 185
2009 182
2010 205
2011 138
2012 168
2013 169
2014 187
2015 212
2016 172
2017 160
2018 180
2019 162
2020 177
2021 196
2022 210
2023 161
2024 149
2025 197
2026 194
2027 189
2028 170
2029 152
2030 193
2031 156
2032 142
2033 148
2034 171
2035 187
2036 225
2037 193
2038 214
2039 187
2040 236
2041 180
2042 172
2043 173
2044 178
2045 181
2046 171
2047 226
2048 165
2049 202
2050 178
# AFR-44_rs_onset_MPI-M-MPI-ESM-LR_r1i1p1_CLMcom-CCLM4-8-17
