#time rs_duration
1950 99
1951 97
1952 67
1953 66
1954 70
1955 49
1956 73
1957 105
1958 94
1959 91
1960 131
1961 104
1962 72
1963 72
1964 89
1965 83
1966 89
1967 85
1968 121
1969 119
1970 116
1971 110
1972 92
1973 104
1974 95
1975 97
1976 103
1977 76
1978 72
1979 112
1980 119
1981 79
1982 101
1983 91
1984 66
1985 103
1986 122
1987 86
1988 92
1989 102
1990 74
1991 64
1992 104
1993 69
1994 90
1995 66
1996 47
1997 111
1998 75
1999 70
2000 76
2001 100
2002 110
2003 62
2004 132
2005 87
2006 84
2007 123
2008 129
2009 65
2010 136
2011 76
2012 97
2013 91
2014 75
2015 120
2016 56
2017 93
2018 83
2019 86
2020 103
2021 74
2022 97
2023 94
2024 69
2025 96
2026 81
2027 86
2028 85
2029 69
2030 85
2031 81
2032 62
2033 94
2034 126
2035 105
2036 110
2037 45
2038 65
2039 83
2040 87
2041 99
2042 74
2043 67
2044 104
2045 85
2046 89
2047 113
2048 65
2049 83
2050 102
# AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_MPI-CSC-REMO2009
