#time rs_duration
1950 119
1951 110
1952 79
1953 70
1954 82
1955 59
1956 119
1957 108
1958 128
1959 89
1960 84
1961 68
1962 133
1963 85
1964 92
1965 87
1966 95
1967 70
1968 65
1969 75
1970 89
1971 109
1972 101
1973 100
1974 113
1975 101
1976 106
1977 88
1978 96
1979 99
1980 96
1981 102
1982 95
1983 83
1984 101
1985 97
1986 97
1987 80
1988 56
1989 101
1990 100
1991 95
1992 68
1993 100
1994 63
1995 89
1996 106
1997 91
1998 100
1999 86
2000 95
2001 91
2002 63
2003 91
2004 85
2005 110
2006 69
2007 83
2008 42
2009 90
2010 109
2011 85
2012 85
2013 101
2014 83
2015 87
2016 105
2017 73
2018 136
2019 105
2020 98
2021 97
2022 49
2023 97
2024 114
2025 88
2026 96
2027 100
2028 106
2029 88
2030 83
2031 129
2032 91
2033 66
2034 93
2035 59
2036 92
2037 100
2038 71
2039 119
2040 94
2041 72
2042 89
2043 92
2044 99
2045 97
2046 101
2047 112
2048 75
2049 117
2050 95
# AFR-44_rs_duration_MPI-M-MPI-ESM-LR_r1i1p1_MPI-CSC-REMO2009
