#time rs_duration
1950 48
1951 83
1952 65
1953 61
1954 63
1955 73
1956 74
1957 50
1958 86
1959 68
1960 81
1961 78
1962 55
1963 64
1964 54
1965 64
1966 58
1967 75
1968 54
1969 74
1970 54
1971 52
1972 89
1973 63
1974 61
1975 66
1976 77
1977 47
1978 59
1979 68
1980 64
1981 71
1982 58
1983 80
1984 50
1985 75
1986 65
1987 57
1988 51
1989 67
1990 63
1991 74
1992 60
1993 50
1994 56
1995 64
1996 66
1997 59
1998 74
1999 63
2000 92
2001 38
2002 65
2003 74
2004 88
2005 63
2006 58
2007 76
2008 73
2009 59
2010 71
2011 71
2012 58
2013 79
2014 49
2015 71
2016 62
2017 72
2018 79
2019 50
2020 54
2021 67
2022 60
2023 90
2024 68
2025 74
2026 91
2027 64
2028 78
2029 69
2030 74
2031 66
2032 65
2033 63
2034 64
2035 61
2036 77
2037 85
2038 87
2039 76
2040 72
2041 87
2042 70
2043 71
2044 75
2045 90
2046 75
2047 68
2048 73
2049 71
# rs_duration_EC-Earth3P_r1i1p1f1
