#time rs_onset
1950 132
1951 142
1952 168
1953 160
1954 174
1955 153
1956 169
1957 146
1958 138
1959 167
1960 164
1961 137
1962 174
1963 182
1964 162
1965 170
1966 177
1967 172
1968 171
1969 183
1970 171
1971 165
1972 172
1973 181
1974 190
1975 160
1976 159
1977 157
1978 144
1979 150
1980 154
1981 164
1982 134
1983 189
1984 160
1985 170
1986 182
1987 178
1988 168
1989 159
1990 163
1991 170
1992 134
1993 173
1994 137
1995 168
1996 150
1997 132
1998 172
1999 174
2000 144
2001 174
2002 178
2003 162
2004 144
2005 158
2006 140
2007 174
2008 152
2009 164
2010 177
2011 171
2012 164
2013 153
2014 179
2015 154
2016 180
2017 166
2018 172
2019 184
2020 137
2021 157
2022 171
2023 173
2024 170
2025 168
2026 163
2027 169
2028 160
2029 179
2030 179
2031 180
2032 180
2033 174
2034 137
2035 150
2036 132
2037 183
2038 174
2039 168
2040 145
2041 169
2042 177
2043 170
2044 167
2045 178
2046 171
2047 166
2048 162
2049 172
2050 180
# rs_onset_CMCC-CM2-VHR4_r1i1p1f1
