#time rs_duration
1970 39
1971 45
1972 33
1973 39
1974 47
1975 41
1976 73
1977 31
1978 45
1979 41
1980 31
1981 50
1982 37
1983 44
1984 41
1985 33
1986 69
1987 63
1988 43
1989 50
1990 29
1991 51
1992 51
1993 49
1994 54
1995 39
1996 37
1997 58
1998 49
1999 28
2000 32
2001 29
2002 52
2003 46
2004 60
2005 40
2006 53
2007 50
2008 63
2009 40
2010 34
2011 67
2012 38
2013 60
2014 46
2015 41
2016 32
2017 73
2018 34
2019 55
2020 66
2021 65
2022 46
2023 41
2024 88
2025 38
2026 55
2027 46
2028 38
2029 71
2030 69
2031 32
2032 41
2033 66
2034 49
2035 50
2036 46
2037 52
2038 41
2039 55
2040 48
2041 67
2042 39
2043 32
2044 56
2045 58
2046 59
2047 48
2048 44
2049 39
2050 36
# AFR-22_rs_duration_NCC-NorESM1-M_r1i1p1_ICTP-RegCM4-7
