#time rs_duration
1950 119
1951 110
1952 109
1953 148
1954 115
1955 127
1956 113
1957 92
1958 142
1959 116
1960 139
1961 119
1962 121
1963 98
1964 149
1965 105
1966 79
1967 135
1968 78
1969 64
1970 148
1971 126
1972 102
1973 119
1974 108
1975 117
1976 68
1977 133
1978 135
1979 115
1980 128
1981 151
1982 111
1983 90
1984 109
1985 95
1986 121
1987 129
1988 108
1989 137
1990 97
1991 81
1992 98
1993 139
1994 140
1995 138
1996 154
1997 114
1998 130
1999 124
2000 91
2001 64
2002 88
2003 109
2004 95
2005 135
2006 128
2007 114
2008 126
2009 140
2010 129
2011 139
2012 106
2013 117
2014 116
2015 101
2016 141
2017 82
2018 127
2019 107
2020 102
2021 57
2022 66
2023 142
2024 122
2025 111
2026 100
2027 123
2028 131
2029 87
2030 89
2031 115
2032 129
2033 84
2034 109
2035 47
2036 90
2037 98
2038 132
2039 95
2040 102
2041 131
2042 66
2043 111
2044 120
2045 64
2046 115
2047 103
2048 96
2049 100
2050 84
# AFR-44_rs_duration_CNRM-CERFACS-CNRM-CM5_r1i1p1_CLMcom-CCLM4-8-17
