#time rs_duration
1950 73
1951 96
1952 82
1953 105
1954 118
1955 90
1956 96
1957 76
1958 78
1959 100
1960 130
1961 63
1962 92
1963 111
1964 78
1965 72
1966 86
1967 81
1968 101
1969 77
1970 104
1971 45
1972 92
1973 71
1974 80
1975 90
1976 108
1977 94
1978 95
1979 87
1980 67
1981 57
1982 51
1983 85
1984 71
1985 69
1986 80
1987 63
1988 85
1989 85
1990 113
1991 88
1992 96
1993 91
1994 78
1995 59
1996 85
1997 94
1998 81
1999 82
2000 96
2001 70
2002 102
2003 112
2004 54
2005 92
2006 92
2007 79
2008 89
2009 97
2010 86
2011 73
2012 74
2013 65
2014 55
2015 114
2016 105
2017 78
2018 83
2019 72
2020 85
2021 84
2022 98
2023 75
2024 79
2025 77
2026 84
2027 103
2028 80
2029 96
2030 85
2031 96
2032 51
2033 87
2034 87
2035 59
2036 81
2037 96
2038 89
2039 82
2040 82
2041 94
2042 79
2043 86
2044 83
2045 95
2046 109
2047 59
2048 98
2049 63
2050 113
# AFR-44_rs_duration_IPSL-IPSL-CM5A-LR_r1i1p1_GERICS-REMO2009
