#time rs_duration
1950 107
1951 152
1952 61
1953 146
1954 130
1955 74
1956 81
1957 113
1958 99
1959 119
1960 74
1961 79
1962 124
1963 90
1964 105
1965 78
1966 100
1967 131
1968 120
1969 95
1970 139
1971 98
1972 101
1973 100
1974 137
1975 108
1976 138
1977 81
1978 84
1979 92
1980 108
1981 75
1982 101
1983 96
1984 117
1985 137
1986 118
1987 64
1988 143
1989 103
1990 89
1991 100
1992 134
1993 95
1994 103
1995 118
1996 112
1997 120
1998 77
1999 88
2000 87
2001 119
2002 112
2003 96
2004 73
2005 108
2006 112
2007 120
2008 98
2009 72
2010 89
2011 97
2012 76
2013 89
2014 64
2015 57
2016 137
2017 105
2018 136
2019 120
2020 103
2021 93
2022 120
2023 88
2024 139
2025 95
2026 75
2027 91
2028 76
2029 99
2030 67
2031 105
2032 95
2033 107
2034 83
2035 99
2036 106
2037 75
2038 89
2039 72
2040 83
2041 103
2042 85
2043 83
2044 111
2045 68
2046 127
2047 56
2048 91
2049 107
2050 81
# AFR-44_rs_duration_ICHEC-EC-EARTH_r12i1p1_CLMcom-CCLM4-8-17
