time effppr
1979 -121.16946522699342
1980 -80.70008278510737
1981 -140.92335481358668
1982 206.897391598916
1983 -144.11923474166392
1984 -147.69536105692856
1985 20.598332117754577
1986 -58.34919404636073
1987 -154.1491062360407
1988 281.9909359272164
1989 76.16078394953088
1990 -9.078965197068143
1991 0.3619353466968572
1992 -335.17881437249326
1993 14.524550191413706
1994 -37.38852231684377
1995 -131.4757501709913
1996 137.75015136528194
1997 121.59902086789671
1998 29.559861812863453
1999 121.32716606117697
2000 234.06342747850576
2001 28.374924806193352
2002 -191.1510522713068
2003 -97.84618429681538
2004 122.41242946610356
2005 -140.22309503537124
2006 38.176474380571065
2007 -82.84162223332532
2008 -37.20297705378143
2009 -47.48379413843365
2010 -21.996361726388308
2011 -16.1964957800848
2012 -77.9460221286065
2013 25.513994421010427
2014 34.673766036772165
2015 -127.51026068056771
2016 -157.6412057490246
2017 123.54766638233093
2018 -40.71923955395486
2019 -87.99386317274407
2020 
2021 
2022 -66.30505930870844
2023 46.33772861837259
2024 -162.64474068276255
