time effppr
1950 350.7534879005919
1951 -234.11622026508542
1952 -189.60765871051487
1953 -201.09752747552548
1954 -274.472236146203
1955 185.85693025514365
1956 -96.43714179574985
1957 0.6591289282821289
1958 286.4758932684618
1959 -124.4071742772353
1960 -210.39889854475535
1961 -151.0226611269569
1962 33.50722505394044
1963 16.03981026762882
1964 -113.65684271422252
1965 -162.84332620862668
1966 12.675823297937647
1967 22.103728054272995
1968 -162.2219255856181
1969 -83.12915447319511
1970 -156.8484012864726
1971 -50.83793284160811
1972 85.70167303998169
1973 -127.66824832019232
1974 65.42598451949104
1975 -1.6419925478037687
1976 15.616912862426016
1977 44.2437834369747
1978 157.25445620833784
1979 -132.48535656746952
1980 -110.4256419601981
1981 109.77687752275881
1982 -78.69464001556214
1983 -121.51538807955099
1984 -154.78597609680568
1985 4.351245760234661
1986 -47.44436806048664
1987 -164.6016919186195
1988 -14.452646377309485
1989 77.72562809975115
1990 -5.65276863692553
1991 -0.7908744354307784
1992 -258.98777286614603
1993 12.437296742316594
1994 -15.060771418185274
1995 -135.6424780147885
1996 117.85702617563602
1997 117.37014925661006
1998 5.103413037540412
1999 74.16116583740114
2000 231.92976672410177
2001 6.5806596637070776
2002 -177.42799812160314
2003 -98.00231247151318
2004 -14.171153026058956
2005 -143.53247823633936
2006 74.28566598405844
2007 -64.77421472460267
2008 -0.3988742253336196
2009 -11.298890427715111
2010 -5.210616107351295
2011 10.371891075960567
2012 -57.8130257054819
2013 51.640274613149494
2014 80.13214748044436
2015 -98.68362267874691
2016 -140.31365042125302
2017 229.88756472056392
2018 -4.483578778222002
2019 -53.38401193090635
2020 -1.8025158267691603
2021 226.98310613748265
2022 -22.310996356972115
2023 99.98212250655415
2024 -189.82877727209484
