"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha-gmst_est","alpha-gmst_lower","alpha-gmst_upper","disp_est","disp_lower","disp_upper","event-magnitude_est","event-magnitude_lower","event-magnitude_upper","return-period_est","return-period_lower","return-period_upper","PR-pi_est","PR-pi_lower","PR-pi_upper","dI-abs-pi_est","dI-abs-pi_lower","dI-abs-pi_upper","dI-rel-pi_est","dI-rel-pi_lower","dI-rel-pi_upper","PR-nino_est","PR-nino_lower","PR-nino_upper","dI-abs-nino_est","dI-abs-nino_lower","dI-abs-nino_upper","dI-rel-nino_est","dI-rel-nino_lower","dI-rel-nino_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper"
"cpc",2.30262584424411,2.18554459729372,2.42335846382033,0.148896686847827,0.114751154943399,0.172620790471024,-0.124715570159349,-0.364413828882438,0.0912244027633932,0.0646638650478213,0.0487836005982107,0.0762460297960201,2.00272181901325,2.00272181901325,2.00272181901325,10.8898095112187,4.36697955769819,52.7156506716933,6.935018612298,0.248670069889145,3639.52173594884,-0.13448970950125,-0.397050866324972,0.0963032676010286,-26.631390127963,-59.9180230753369,24.8254865670712,1,1,1,0,0,0,0,0,0,-39.1959039397327,-64.46311433102,-25.6384307063666,44,1000,0
"chirps05+centrends01",2.30998311799545,2.28665546464388,2.33289230817506,0.128501221380867,0.110478354829204,0.14325523432352,-0.0495813556412211,-0.124756707342263,0.0186400434659157,0.0556286409107515,0.0479770711857594,0.0620048541398996,2.16103718348384,2.16103718348384,2.16103718348384,4.88530735632201,2.66552072063869,10.4793045633482,1.9750931170156,0.774857211204713,5.78459559860791,-0.0563842860447092,-0.143502006294926,0.0210212872401783,-12.1754943382605,-28.1382161400736,4.95938739509543,1,1,1,0,0,0,0,0,0,-150.237518777927,-187.065410587043,-123.820288955532,123,1000,0
