"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha-gmst_est","alpha-gmst_lower","alpha-gmst_upper","alpha-nino-ond_est","alpha-nino-ond_lower","alpha-nino-ond_upper","disp_est","disp_lower","disp_upper","event-magnitude_est","event-magnitude_lower","event-magnitude_upper","return-period_est","return-period_lower","return-period_upper","PR-pi_est","PR-pi_lower","PR-pi_upper","dI-abs-pi_est","dI-abs-pi_lower","dI-abs-pi_upper","dI-rel-pi_est","dI-rel-pi_lower","dI-rel-pi_upper","PR-nino_est","PR-nino_lower","PR-nino_upper","dI-abs-nino_est","dI-abs-nino_lower","dI-abs-nino_upper","dI-rel-nino_est","dI-rel-nino_lower","dI-rel-nino_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper"
"cpc",2.07567148904644,1.955347646942,2.19725551456951,0.16555864165507,0.124567480319876,0.191127658304766,0.133704179767125,-0.0719690333946586,0.319073692490401,0.0961461685779091,0.0320764551543763,0.151409912590815,0.079761485634284,0.0589613319599756,0.0930242507006292,1.93780673717601,1.93780673717601,1.93780673717601,7.34647259128431,3.69352287894847,30.5270158105544,0.317202594227012,0.0607217423320892,2.08735375568209,0.144145525041434,-0.0784419192009642,0.345312327022726,39.3623705429738,-16.5246822651313,121.468685022668,2.0525444636556,1.2868792309295,4.23317606486137,-0.0712823734758623,-0.116357203260018,-0.0231711206516531,-3.54799461596474,-5.66445552471145,-1.18161032579599,-22.2441032303977,-48.1375285310399,-9.15355674829291,44,1000,0
"chirps05+centrends01",2.17363134209573,2.14572592194726,2.19847100123229,0.145951605212792,0.123903963055003,0.164348617998097,0.0804938295686072,0.00914813163982089,0.145013741349675,0.0896738558380051,0.0592963877137642,0.118709400831914,0.0671464394104986,0.0571377353618622,0.0756859299743271,2.11970325271135,2.11970325271135,2.11970325271135,2.88715566997913,1.96965762411628,4.76860145889661,0.573481244401892,0.33647250304458,0.936157592666119,0.0921338210376388,0.0107153171905253,0.1625609380587,23.6328329955007,2.49798251637665,45.3988387770991,1.76265921513578,1.41956250744649,2.32852515943861,-0.0693091670080621,-0.0923998929715774,-0.0455877036294186,-3.166229957569,-4.17701557113595,-2.1053846546485,-114.379197820058,-155.474902326273,-84.388035752381,123,1000,0
