"","mu0_est","mu0_lower","mu0_upper","sigma0_est","sigma0_lower","sigma0_upper","alpha-gmst_est","alpha-gmst_lower","alpha-gmst_upper","disp_est","disp_lower","disp_upper","event-magnitude_est","event-magnitude_lower","event-magnitude_upper","return-period_est","return-period_lower","return-period_upper","PR-pi_est","PR-pi_lower","PR-pi_upper","dI-abs-pi_est","dI-abs-pi_lower","dI-abs-pi_upper","dI-rel-pi_est","dI-rel-pi_lower","dI-rel-pi_upper","PR-nino_est","PR-nino_lower","PR-nino_upper","dI-abs-nino_est","dI-abs-nino_lower","dI-abs-nino_upper","dI-rel-nino_est","dI-rel-nino_lower","dI-rel-nino_upper","aic_est","aic_lower","aic_upper","n_est","n_lower","n_upper"
"cpc",2.93015724613494,2.87101050251347,3.00011116017492,0.0820027671433015,0.062502185511705,0.095987102296148,-0.0263182901472305,-0.143098437853865,0.0731450603772157,0.0279857906095205,0.0212160752445478,0.0328205218330593,2.76958915545836,2.76958915545836,2.76958915545836,21.4647840535552,8.0529713675499,135.573847705325,2.2748536939216,0.0904140265220714,360.608280227649,-0.0300127580607361,-0.162762141286732,0.0834182074950838,-6.67731145643908,-31.2555156454929,21.1764450591602,1,1,1,0,0,0,0,0,0,-87.470168536536,-111.161476948138,-73.8804231360804,43,1000,0
"chirps05+centrends01",2.96174092984813,2.94823021643782,2.97515518776776,0.0733713444196135,0.0637641184821678,0.0810363667975989,-0.00218187009403734,-0.0378629221722666,0.0325507240396638,0.0247730460420033,0.021572522538669,0.0272438033965444,2.84951780997054,2.84951780997054,2.84951780997054,15.0642706971896,6.99035033824162,41.57298503641,1.06948134844166,0.335089998946973,3.25827662578198,-0.00252015017696872,-0.0440573614099089,0.0372693707649827,-0.578605615578143,-9.6469871991359,8.96057107563222,1,1,1,0,0,0,0,0,0,-285.213275123082,-319.488681250396,-261.230109648516,122,1000,0
