year,var
1950,15.01012
1951,13.93321
1952,13.03813
1953,13.33138
1954,13.17244
1955,12.51672
1956,13.62585
1957,12.9668
1958,14.2724
1959,12.76759
1960,12.66642
1961,12.8306
1962,12.92802
1963,13.01249
1964,11.25514
1965,12.85496
1966,13.82265
1967,14.2806
1968,12.90666
1969,13.35678
1970,13.20101
1971,13.31134
1972,13.86051
1973,13.46975
1974,12.28421
1975,13.37173
1976,12.843
1977,14.77048
1978,13.70774
1979,14.42184
1980,13.76383
1981,14.38566
1982,14.48
1983,14.71413
1984,13.63995
1985,13.01425
1986,14.84877
1987,15.11086
1988,13.69259
1989,13.29774
1990,14.26789
1991,14.90737
1992,13.4539
1993,13.79681
1994,14.22423
1995,13.29764
1996,13.45026
1997,13.64342
1998,13.36984
1999,15.26445
2000,13.68821
2001,13.46765
2002,13.63012
2003,14.3735
2004,15.04143
2005,12.72402
2006,14.84511
2007,14.29186
2008,15.12838
2009,14.28259
2010,14.34181
2011,15.41055
2012,14.02843
2013,14.45867
2014,15.3376
2015,13.84877
2016,13.64676
2017,15.78965
2018,13.64681
2019,14.72915
2020,15.7229
2021,14.33933
2022,14.86343
2023,16.03236
