,rp,logrp,fit_f,fit_cf
20,1.01351,0.01341955365946503,23.135,19.5615
21,1.0274,0.027031339051030515,23.5849,20.0114
22,1.04167,0.04082519451513523,23.8798,20.3064
23,1.05634,0.05481010315991953,24.107,20.5336
24,1.07143,0.068994204819396,24.2954,20.7219
25,1.08696,0.083384808933931,24.4584,20.885
26,1.10294,0.09797934169296822,24.6035,21.0301
27,1.1194,0.1127928274751221,24.7352,21.1618
28,1.13636,0.12783017150476492,24.8565,21.2831
29,1.15385,0.14310417696845115,24.9695,21.396
30,1.17188,0.15860929683420308,25.0757,21.5023
31,1.19048,0.17435658713965774,25.1763,21.6028
32,1.20968,0.19035586182227673,25.2721,21.6987
33,1.22951,0.20661571602859038,25.3639,21.7905
34,1.25,0.22314355131420974,25.4522,21.8788
35,1.27119,0.23995346962667102,25.5375,21.9641
36,1.2931,0.2570424363196688,25.6202,22.0468
37,1.31579,0.27443724570168027,25.7006,22.1271
38,1.33929,0.2921396227960413,25.7789,22.2055
39,1.36364,0.31015759496695056,25.8555,22.282
40,1.38889,0.328504866971716,25.9304,22.357
41,1.41509,0.34719313331281965,26.004,22.4306
42,1.44231,0.3662459949536031,26.0764,22.5029
43,1.47059,0.38566368081126473,26.1476,22.5742
44,1.5,0.4054651081081644,26.218,22.6445
45,1.53061,0.4256663487579416,26.2874,22.714
46,1.5625,0.4462871026284195,26.3562,22.7827
47,1.59574,0.46733757848861623,26.4243,22.8509
48,1.63043,0.48884378370957987,26.492,22.9185
49,1.66667,0.5108276237639907,26.5591,22.9857
50,1.70455,0.5333011462811603,26.626,23.0525
51,1.74419,0.5562902645068457,26.6925,23.1191
52,1.78571,0.5798160952500621,26.7589,23.1854
53,1.82927,0.6039169801649004,26.8251,23.2517
54,1.875,0.6286086594223741,26.8913,23.3178
55,1.92308,0.6539280674053839,26.9575,23.3841
56,1.97368,0.6798998204743159,27.0238,23.4504
57,2.02703,0.706571667557677,27.0903,23.5169
58,2.08333,0.7339675750789205,27.157,23.5836
59,2.14286,0.7621413853793413,27.2241,23.6506
60,2.20588,0.7911265222529135,27.2915,23.718
61,2.27273,0.8209817520691103,27.3593,23.7859
62,2.34375,0.8517522107365838,27.4277,23.8543
63,2.41935,0.8834989090491642,27.4968,23.9233
64,2.5,0.916290731874155,27.5665,23.993
65,2.58621,0.9501934835491164,27.637,24.0636
66,2.67857,0.9852830700276309,27.7084,24.135
67,2.77778,1.0216520475316613,27.7808,24.2074
68,2.88462,1.0593931755135484,27.8544,24.2809
69,3.0,1.0986122886681096,27.9291,24.3557
70,3.125,1.1394342831883648,28.0053,24.4318
71,3.26087,1.1819940309404853,28.0829,24.5094
72,3.40909,1.2264453935112922,28.1622,24.5887
73,3.57143,1.2729660758128074,28.2434,24.6699
74,3.75,1.3217558399823195,28.3266,24.7531
75,3.94737,1.37304953436979,28.4121,24.8386
76,4.16667,1.4271171556398257,28.5001,24.9267
77,4.41176,1.4842737028128588,28.591,25.0176
78,4.6875,1.5448993912965292,28.6851,25.1117
79,5.0,1.6094379124341003,28.7828,25.2093
80,5.35714,1.6784302505875761,28.8846,25.3111
81,5.76923,1.7525386227414315,28.9911,25.4176
82,6.25,1.83258146374831,29.1029,25.5295
83,6.81818,1.9195925740712376,29.221,25.6476
84,7.5,2.0149030205422647,29.3465,25.7731
85,8.33333,2.120263136200011,29.4808,25.9074
86,9.375,2.2380465718564744,29.6258,26.0523
87,10.7143,2.3715792978134416,29.7841,26.2106
88,12.5,2.525728644308255,29.9592,26.3858
89,15.0,2.70805020110221,30.1569,26.5834
90,18.75,2.9311937524164198,30.3858,26.8123
91,25.0,3.2188758248682006,30.6618,27.0883
92,37.5,3.624340932976365,31.0182,27.4447
93,75.0001,4.317489446868755,31.5515,27.9781
94,83.3332,4.422847029192857,31.6251,28.0517
95,92.5926,4.52820922485196,31.697,28.1235
96,102.88,4.633563260489309,31.767,28.1936
97,114.312,4.738931552166669,31.8354,28.2619
98,127.014,4.844297316603498,31.9021,28.3286
99,141.126,4.949653108361462,31.9672,28.3937
100,156.807,5.055015749776987,32.0307,28.4572
101,174.229,5.160370525878654,32.0926,28.5192
102,193.589,5.265737355046444,32.1531,28.5797
103,215.098,5.371093738229527,32.2121,28.6387
104,238.998,5.47645518369566,32.2697,28.6963
105,265.555,5.581821975536939,32.326,28.7525
106,295.057,5.687168558014157,32.3808,28.8074
107,327.846,5.7925439859336585,32.4344,28.8609
108,364.271,5.897898096124511,32.4867,28.9132
109,404.748,6.003264651223732,32.5377,28.9642
110,449.719,6.1086229432732875,32.5875,29.014
111,499.679,6.213965892251946,32.6361,29.0626
112,555.206,6.3193392160506265,32.6836,29.1101
113,616.9,6.424706936215593,32.7299,29.1564
114,685.428,6.530043460663278,32.7751,29.2016
115,761.597,6.635417544393767,32.8192,29.2458
116,846.223,6.740782918252206,32.8623,29.2889
117,940.269,6.84616600453793,32.9044,29.3309
118,1044.72,6.951504185912151,32.9454,29.372
119,1160.81,7.056873316281321,32.9855,29.4121
120,1289.76,7.16221143353529,33.0246,29.4512
121,1433.09,7.26758823115956,33.0628,29.4894
122,1592.37,7.3729787514611305,33.1001,29.5267
123,1769.19,7.478277093705984,33.1365,29.5631
124,1965.93,7.5837206947833,33.1721,29.5986
125,2184.25,7.689027799178204,33.2068,29.6333
