,rp,logrp,fit_f,fit_cf
126,2426.91,7.794374122220722,33.2406,29.6672
127,2696.43,7.899683954863096,33.2737,29.7002
128,2996.47,8.005190208167829,33.306,29.7325
129,3328.81,8.110370161749776,33.3374,29.764
130,3698.68,8.215731278222728,33.3682,29.7947
131,4110.05,8.321190472866403,33.3983,29.8248
132,4566.47,8.426495756527322,33.4276,29.8541
133,5074.78,8.532038453216666,33.4562,29.8828
134,5637.51,8.63719775764528,33.4841,29.9107
135,6264.83,8.742706732085715,33.5114,29.938
136,6961.5,8.84815024734934,33.5381,29.9646
137,7735.0,8.953510763007166,33.5641,29.9906
138,8594.88,9.0589219561139,33.5895,30.016
139,9548.79,9.164169723876773,33.6142,30.0407
140,10611.8,9.269721868491263,33.6384,30.065
