run,gmst_file,sigma_est,sigma_lower,sigma_upper,disp_est,disp_lower,disp_upper,xi_est,xi_lower,xi_upper,alpha_est,alpha_lower,alpha_upper,rv,rp_est,rp_lower,rp_upper,pr_est,pr_lower,pr_upper,di_est,di_lower,di_upper,f_pr_est,f_pr_lower,f_pr_upper,f_di_est,f_di_lower,f_di_upper,f_disp_est,f_disp_lower,f_disp_upper,f_alpha_est,f_alpha_lower,f_alpha_upper,f_pr_est_i,f_pr_lower_i,f_pr_upper_i,f_di_est_i,f_di_lower_i,f_di_upper_i
p_rx2d_pr_EC-Earth3P-HR_NZ,gmst,8.003,5.914,9.811,0.255,0.199,0.299,0.096,-0.182,0.255,2.542,-9.599,17.641,47.247,10.0,4.6426,56.088,0.33021,0.044206,1.1016,-21.686,-38.596,2.256,2.3309,1.0469,81.606,16.456,1.136,35.078,0.249,0.207,0.282,-6.22,-12.231,-0.454,0.42901883392680934,0.01225400093130407,0.9552010698251983,-16.456,-35.078,-1.136
p_rx2d_pr_CMCC-CM2-VHR4_NZ,gmst,10.127,7.935,11.875,0.282,0.219,0.321,-0.031,-0.318,0.128,6.2,-5.469,20.899,56.504,10.0,5.1127,52.721,2.2955,0.32073,21.061,12.867,-12.469,43.834,0.89893,0.42244,9.3189,-1.646,-15.368,13.042,0.285,0.244,0.317,0.685,-5.105,6.929,1.112433671142358,0.10730880254107245,2.3672000757504024,1.646,-13.042,15.368
p_rx2d_pr_CNRM-CM6-1-HR_NZ,gmst,10.094,7.706,11.552,0.227,0.17,0.259,-0.14,-0.44,0.033,8.121,-6.489,22.126,61.917,10.0,4.6205,52.895,2.1448,0.30719,34.881,9.125,-12.146,35.797,0.65756,0.35455,1.9634,-5.387,-15.578,6.15,0.217,0.18,0.248,2.865,-3.1,8.953,1.5207737696940204,0.5093205663644698,2.8204766605556335,5.387,-6.15,15.578
p_rx2d_pr_HadGEM3-GC31-MM_NZ,gmst,12.53,9.202,14.513,0.338,0.253,0.388,-0.121,-0.348,0.133,8.634,-13.913,24.516,58.264,10.0,4.2252,56.031,1.8013,0.13093,89.878,8.929,-29.821,47.394,0.94883,0.41569,7.1713,-0.815,-18.154,25.001,0.312,0.254,0.354,0.347,-9.161,8.722,1.0539295764257033,0.13944473108083613,2.405638817387957,0.815,-25.001,18.154
p_rx2d_pr_HadGEM3-GC31-HM_NZ,gmst,11.213,8.32,13.697,0.288,0.216,0.337,0.049,-0.169,0.2,-5.134,-20.703,13.423,66.539,10.0,4.9423,34.212,0.77025,0.1793,3.3122,-5.205,-29.214,24.8,1.3194,0.57425,4.5451,5.384,-11.437,23.629,0.287,0.232,0.326,-2.645,-10.57,6.221,0.7579202667879339,0.2200171613385844,1.7414018284719197,-5.384,-23.629,11.437
p_rx2d_pr_MPI-ESM1-2-XR_NZ,gmst,8.214,6.072,10.346,0.314,0.237,0.368,0.043,-0.138,0.215,-6.779,-20.395,8.792,45.236,10.0,3.7886,43.423,0.47746,0.08424,2.7321,-14.226,-35.482,22.093,1.1866,0.60507,5.4612,3.207,-12.726,26.309,0.299,0.25,0.334,-1.172,-8.488,5.094,0.842743974380583,0.18310993920750016,1.652701340340787,-3.207,-26.309,12.726
