time rx2day
1979 104.81666666666658
1980 69.9499999999999
1981 105.229861111111
1982 135.6785714285713
1983 65.9833333333332
1984 107.16428571428558
1985 99.0099999999999
1986 148.29444444444434
1987 120.63611111111098
1988 284.1909090909089
1989 125.65454545454529
1990 78.4555555555554
1991 89.28272727272713
1992 102.59067473111097
1993 100.65454545454533
1994 48.44545454545441
1995 63.81818181818169
1996 118.4272727272726
1997 111.83636363636349
1998 95.73999999999984
1999 71.12727272727258
2000 67.79999999999984
2001 63.19090909090894
2002 84.10909090909075
2003 83.49090909090896
2004 91.96999999999989
2005 61.49583333333323
2006 122.4599999999999
2007 57.00999999999988
2008 57.636363636363534
2009 113.26363636363627
2010 92.87727272727267
2011 117.72363636363627
2012 128.95999999999992
2013 56.92999999999991
2014 76.67999999999991
2015 70.17777777777768
2016 87.38181818181812
2017 113.14444444444436
2018 92.78727272727266
2019 74.26363636363631
2020 65.14999999999995
2021 55.293939393939326
2022 128.45606060606053
2023 233.62999999999994
