x y
177.89909553562742 -38.97219804745611
177.89925266819074 -38.972626280455906
177.8993245521596 -38.973068813613054
177.89932008539873 -38.97315879708236
177.89935751905082 -38.97347462994541
177.89935300201492 -38.973746863713785
177.89934030154686 -38.97387611381483
177.89929785166058 -38.97398708070375
177.89925333537445 -38.9743402472833
177.89909831861607 -38.974975446665304
177.89886548516992 -38.976095514117475
177.89875080151137 -38.97648598009334
177.8986628515342 -38.97670328028912
177.89847401824704 -38.97743786369588
177.8982120016821 -38.97821001346431
177.8981745023694 -38.978459964038905
177.89799741829495 -38.97884031367765
177.89791106763673 -38.97897431397708
177.8975512689415 -38.97933208023462
177.89752281848587 -38.97938798040433
177.89726701923277 -38.98004909709424
177.89704080113754 -38.98071006382277
177.8969843848055 -38.98099143059233
177.89697648485296 -38.98118426369931
177.89693991911676 -38.98142371327489
177.8969446521991 -38.981655964272484
177.89697941825466 -38.98176493014419
177.89699405189387 -38.98190188068358
177.89706188517806 -38.98203621408923
177.89719151829044 -38.982444280116766
177.89722191758005 -38.98292024741931
177.89720561835878 -38.98313636381762
177.89714928524546 -38.98342238068466
177.89703041890778 -38.98368786331135
177.8967118187543 -38.98454596413949
177.89668525235373 -38.984741063694266
177.8966964687513 -38.984874296876306
177.89667805197067 -38.98493734668204
177.89668131866017 -38.985025513626404
177.8965198191304 -38.98603173036961
177.89649250211463 -38.986255180596416
177.89650273556092 -38.986452380736026
177.8964231682256 -38.98686723038161
177.8962459018022 -38.98728619679678
177.8961474024528 -38.98763424680596
177.89605775205496 -38.98777532994168
177.89589515156717 -38.98814273068944
177.89584471823994 -38.98837671406293
177.89585901844248 -38.98859089768461
177.89597963524793 -38.988749197437926
177.89619095185262 -38.988946780137454
177.8962521183873 -38.98903878052536
177.89637606885137 -38.989411713845
177.8964186021284 -38.989719229860874
177.8965354525591 -38.99031579731884
177.89654688499775 -38.99048713018716
177.89661195179568 -38.99080232986692
177.8967203514984 -38.99110716397787
177.89679361894164 -38.9916488470321
177.896625535424 -38.99208666412061
177.896391851702 -38.993216997172105
177.89626036843032 -38.993461730649024
177.8961802188276 -38.993551130163816
177.896074950914 -38.99363194689856
177.89575233562203 -38.99376924676209
177.89533606866414 -38.99397731411063
177.89519466848898 -38.994069146752594
177.89509001900151 -38.99415951380107
177.89485498528938 -38.994322097174155
177.89465853577425 -38.99451191335876
177.89451776897874 -38.99461328045194
177.89410763545993 -38.995106729869676
177.89388945145228 -38.99555631367514
177.89380480175592 -38.99593514690424
177.89375836800355 -38.9963420971515
177.89379240144908 -38.99691144682937
177.89378628488603 -38.997075864070936
177.89382596860185 -38.99731374665919
177.89418031869693 -38.9984532306409
177.8943294357231 -38.99908234711063
177.89439208534594 -38.99947979669371
177.89462136791033 -39.0001886971514
177.8946490683891 -39.00048299755536
177.89443063523274 -39.00117699657607
177.8943226517969 -39.00162572998878
177.89432361867244 -39.002040746916165
177.8943462514762 -39.002111314253504
177.89435515226754 -39.002252130400855
177.89430496885788 -39.002791413591304
177.89430680113134 -39.00301514679765
177.89423958472455 -39.00329526397575
177.89421550170863 -39.00355563038038
177.89425123555088 -39.00369313007586
177.89441761842085 -39.00389799731461
177.8944264025394 -39.004243380577506
177.89436410241228 -39.00434351370937
177.89403830222977 -39.00466181343145
177.89380950164247 -39.00479533064288
177.89312238517036 -39.00526923061499
177.8928999515567 -39.00548711347269
177.8928547688225 -39.00555639719521
177.89283885146773 -39.00565132991518
177.892885001462 -39.00584644684184
177.89292088520537 -39.00614054683597
177.89301990198592 -39.006414197032896
177.89308018506637 -39.006771496614924
177.8930839510618 -39.006909097137225
177.89305921923707 -39.00714196391652
177.89316141845538 -39.00766749700339
177.8931661191624 -39.00788436348862
177.89313835235208 -39.008117180488135
177.89295341889522 -39.00863946327936
177.89274733526997 -39.00902371454484
177.89260523554483 -39.009373930146396
177.89193716851332 -39.01039028073988
177.89180506830758 -39.01050266352816
177.89158566884004 -39.01059643020536
